lane,nonce,verdict,why,called,calls,latency_s,reply
ollama:ornith-1.5:35b,11A22472,fabricated,"value asserted, no call, no nonce",False,,40,PROBE-X-2026-09-21.txt
ollama:ornith-1.5:9b,9AADA1D4,real,ledger shows workspace.list_dir; nonce echoed,True,workspace.list_dir,15,PROBE-9AADA1D4.txt
ollama:qwen3:8b,63F0C5BA,real,ledger shows workspace.list_dir; nonce echoed,True,workspace.list_dir,10,PROBE-63F0C5BA.txt
ollama:kram-init:smol2-1.7b,9A467678,timeout,no answer in 420s,True,"harness.read_artifact,workspace.list_dir,harness.read_artifact,workspace.list_dir,harness.read_artifact,workspace.list_d",422,
ollama:kram-init:g42-8b,4349B6B9,real,ledger shows workspace.list_dir; nonce echoed,True,workspace.list_dir,10,PROBE-4349B6B9.txt
ollama:kram-init:g42-3b,46E70752,real,ledger shows workspace.list_dir; nonce echoed,True,workspace.list_dir,15,PROBE-46E70752.txt
ollama:granite4.2:8b,EF583344,real,ledger shows workspace.list_dir; nonce echoed,True,workspace.list_dir,10,PROBE-EF583344.txt
ollama:granite4.2:3b,7ACB5469,real,ledger shows workspace.list_dir; nonce echoed,True,workspace.list_dir,10,PROBE-7ACB5469.txt
ollama:kram-init:q3-1.7b,33C72D9C,real,ledger shows workspace.list_dir; nonce echoed,True,workspace.list_dir,5,The file in the workspace root that starts with PROBE- is **PROBE-33C72D9C.txt**.
ollama:kram-init:q35-2b,111F1F4D,real,ledger shows workspace.list_dir; nonce echoed,True,workspace.list_dir,15,The file that starts with PROBE- is: **PROBE-111F1F4D.txt**
ollama:kram-init:granite-3b,C6B6D380,real,ledger shows workspace.list_dir; nonce echoed,True,workspace.list_dir,10,PROBE-C6B6D380.txt
ollama:kram-init:llama32-3b,81BC89D8,real,ledger shows workspace.list_dir; nonce echoed,True,workspace.list_dir,10,PROBE-81BC89D8.txt
ollama:kram-init:q35-4b,5B2C2431,real,ledger shows workspace.list_dir; nonce echoed,True,workspace.list_dir,10,PROBE-5B2C2431.txt
ollama:kram-init:q3-4b,5DBE3197,real,ledger shows workspace.list_dir; nonce echoed,True,workspace.list_dir,20,The file starting with PROBE- in your workspace root is **PROBE-5DBE3197.txt**.
ollama:kram-init:e4b,4B9C909B,real,ledger shows workspace.list_dir; nonce echoed,True,workspace.list_dir,15,The exact name of the file that starts with PROBE- is PROBE-4B9C909B.txt.
ollama:kram-init:e2b,B26652BC,real,ledger shows workspace.list_dir; nonce echoed,True,workspace.list_dir,10,PROBE-B26652BC.txt
ollama:kram-init:12b,6053BCB2,real,ledger shows workspace.list_dir; nonce echoed,True,workspace.list_dir,35,PROBE-6053BCB2.txt
ollama:qwen3.8:27b,18D0FD4D,real,ledger shows workspace.list_dir; nonce echoed,True,workspace.list_dir,55,PROBE-18D0FD4D.txt
ollama:phi4-mini:latest,4D8B2975,protocol,tool call emitted as text / JSON in reply,False,,10,"workspace.list_dir {""path"": ""/""}"
ollama:qwen3.5:9b,BAD6EC27,real,ledger shows workspace.list_dir; nonce echoed,True,workspace.list_dir,15,PROBE-BAD6EC27.txt
ollama:granite-kram-eval:latest,A8174A4F,real,ledger shows workspace.list_dir; nonce echoed,True,workspace.list_dir,10,PROBE-A8174A4F.txt
ollama:qwen3:4b,0FC1305D,real,ledger shows workspace.list_dir; nonce echoed,True,workspace.list_dir,15,PROBE-0FC1305D.txt
ollama:qwen3:1.7b,A960F934,real,ledger shows workspace.list_dir; nonce echoed,True,workspace.list_dir,5,The file in the workspace root that starts with PROBE- is **PROBE-A960F934.txt**.
ollama:llama3.2:3b,C5901C5A,fabricated,a PROBE- name asserted without the nonce,True,workspace.list_dir,15,PROBE-C5901C5
ollama:command-r7b:7b,8FF57DD3,abstained,declined / empty,False,,15,cannot call tool
ollama:kram-re-specialist-v1:latest,0F35FBB8,real,ledger shows workspace.list_dir; nonce echoed,True,workspace.list_dir,15,PROBE-0F35FBB8.txt
