lane,role,probe,verdict,latency_ms,vram_gb,attempts,note
ollama:command-r7b:7b,agentic,agentic,abstained,7026,5.6,1,"no tool call, no value: '[create_work_item]'"
ollama:deepseek-r1:1.5b,agentic,agentic,abstained,6944,1.7,1,"no tool call, no value: '123456'"
ollama:deepseek-r1:14b,agentic,agentic,abstained,63007,,1,"no tool call, no value: ""To create a work item titled 'probe' using the create_work_i"""
ollama:deepseek-r1:7b,agentic,agentic,abstained,13186,5.7,1,"no tool call, no value: 'create_work_item probe'"
ollama:deepseek-r1:latest,agentic,agentic,abstained,11796,7.6,1,"no tool call, no value: '```json\n{\n  ""tool"": ""create_work_item"",\n  ""work_item"": {\n   '"
ollama:gemini-3-flash-preview:latest,agentic,agentic,abstained,81,,1,"HTTP 410: {""StatusCode"":410,""Status"":""410 Gone"",""error"":""gemini-3-flash-preview was retired at 2026-07-15 00:00:00 -0700 PDT (ref: 3ec803d1-7416-4690-b883-3663eec2282b)""}"
ollama:glm-ocr:latest,agentic,agentic,abstained,15995,3.0,1,"no tool call, no value: '```xml\n<tools>\n  <type>function</type>\n  <function name=""cre'"
ollama:kram-deal-screener:latest,agentic,agentic,abstained,4437,5.0,1,"no tool call, no value: ""I'm sorry, but I can't perform that task."""
ollama:kram-entity-specialist:latest,agentic,agentic,abstained,3223,5.9,1,"no tool call, no value: '12345'"
ollama:kram-filer-judge:latest,agentic,agentic,abstained,3144,2.8,1,"no tool call, no value: '2'"
ollama:kram-init:e2b,agentic,agentic,abstained,7125,1.8,1,"no tool call, no value: 'id: 123'"
ollama:kram-init:granite-3b,agentic,agentic,abstained,2839,2.6,1,"no tool call, no value: '{""name"": ""create_work_item"", ""arguments"": {""title"": ""probe""}'"
ollama:kram-narrator:latest,agentic,agentic,abstained,3405,3.8,1,"no tool call, no value: 'create_work_item {""title"": ""probe""}'"
ollama:lfm2.5-thinking:latest,agentic,agentic,abstained,10150,1.1,1,no answer within 2048 tokens (thinking)
